customer_full_name,total_amount,amount_section
Brian Wyman,27.93,Bronze Customer
Leona Obrien,32.90,Bronze Customer
Caroline Bowman,37.87,Bronze Customer
Anthony Schwab,47.85,Bronze Customer
Tiffany Jordan,49.88,Bronze Customer
Kirk Stclair,50.83,Silver Customer
Bobbie Craig,52.81,Silver Customer
Jo Fowler,54.85,Silver Customer
Penny Neal,56.84,Silver Customer
Johnny Turpin,57.81,Silver Customer
Sheila Wells,57.86,Silver Customer
Katherine Rivera,57.87,Silver Customer
Mattie Hoffman,58.80,Silver Customer
Annie Russell,58.82,Silver Customer
Jill Hawkins,58.83,Silver Customer
Lauren Hudson,59.83,Silver Customer
Anita Morales,59.86,Silver Customer
Scott Shelley,60.82,Silver Customer
Tony Carranza,62.81,Silver Customer
Nelson Christenson,62.84,Silver Customer
Lester Kraus,62.85,Silver Customer
Felix Gaffney,63.78,Silver Customer
Juan Fraley,63.79,Silver Customer
Donald Mahon,63.84,Silver Customer
Allan Cornish,63.84,Silver Customer
Jose Andrew,64.82,Silver Customer
Henry Billingsley,64.84,Silver Customer
Joann Gardner,64.85,Silver Customer
Marvin Yee,65.81,Silver Customer
Jeffrey Spear,65.83,Silver Customer
Jonathan Scarborough,65.83,Silver Customer
Kay Caldwell,65.87,Silver Customer
Alberto Henning,66.79,Silver Customer
Lloyd Dowd,66.81,Silver Customer
Jeanette Greene,66.82,Silver Customer
Vera Mccoy,67.82,Silver Customer
Ann Evans,67.86,Silver Customer
Kenneth Gooden,67.86,Silver Customer
Jerome Kenyon,67.86,Silver Customer
Felicia Sutton,68.77,Silver Customer
Terry Grissom,68.81,Silver Customer
Adrian Clary,68.82,Silver Customer
Floyd Gandy,68.84,Silver Customer
Daniel Cabral,68.87,Silver Customer
Fred Wheat,69.79,Silver Customer
Franklin Troutman,69.79,Silver Customer
Edith Mcdonald,69.83,Silver Customer
Wayne Truong,70.81,Silver Customer
William Satterfield,70.81,Silver Customer
Eugene Culpepper,70.82,Silver Customer
Irma Pearson,70.82,Silver Customer
Samantha Duncan,71.77,Silver Customer
Billie Horton,71.79,Silver Customer
Ray Houle,71.80,Silver Customer
Norma Gonzales,71.81,Silver Customer
Delores Hansen,71.84,Silver Customer
Robert Baughman,71.85,Silver Customer
Anne Powell,72.79,Silver Customer
Timothy Bunn,72.82,Silver Customer
Armando Gruber,72.82,Silver Customer
Paula Bryant,72.83,Silver Customer
Norman Currier,73.76,Silver Customer
Enrique Forsythe,73.78,Silver Customer
Gregory Mauldin,73.78,Silver Customer
Lance Pemberton,73.80,Silver Customer
Herbert Kruger,73.81,Silver Customer
Rachel Barnes,73.81,Silver Customer
Alicia Mills,73.81,Silver Customer
Danny Isom,73.82,Silver Customer
Toni Holt,73.83,Silver Customer
Antonio Meek,73.85,Silver Customer
April Burns,74.77,Silver Customer
Irene Price,74.79,Silver Customer
Jacob Lance,74.80,Silver Customer
Larry Thrasher,74.81,Silver Customer
Dwight Lombardi,74.83,Silver Customer
Allen Butterfield,74.83,Silver Customer
Kristen Chavez,74.84,Silver Customer
Darryl Ashcraft,75.78,Silver Customer
Ida Andrews,75.78,Silver Customer
Clayton Barbee,75.79,Silver Customer
Samuel Marlow,75.80,Silver Customer
Leah Curtis,75.81,Silver Customer
Christina Ramirez,75.83,Silver Customer
Pearl Garza,76.78,Silver Customer
Phyllis Foster,76.80,Silver Customer
Kim Cruz,76.80,Silver Customer
Marian Mendoza,76.82,Silver Customer
Lydia Burke,77.77,Silver Customer
Rita Graham,77.78,Silver Customer
Ernest Stepp,77.79,Silver Customer
Chris Brothers,77.80,Silver Customer
Emma Boyd,77.81,Silver Customer
Luis Yanez,77.81,Silver Customer
Melinda Fernandez,77.84,Silver Customer
Ricky Shelby,78.77,Silver Customer
Colleen Burton,78.78,Silver Customer
Joan Cooper,78.79,Silver Customer
Erika Pena,78.79,Silver Customer
Margaret Moore,78.80,Silver Customer
Dennis Gilman,78.80,Silver Customer
Carol Garcia,78.81,Silver Customer
Austin Cintron,78.82,Silver Customer
Frederick Isbell,78.84,Silver Customer
Clarence Gamez,79.75,Silver Customer
Jesse Schilling,79.78,Silver Customer
